Arroyo Grande,10000
Paso Robles,10001
Morro Bay,10002
Santa Maria-Orcutt,10003
Oceano,10004
Atascadero,10005
Los Alamos,10006
San Miguel,10007
San Luis Obispo,10008
Cayucos,10009
Pismo Beach,10010
Nipomo,10011
Guadalupe,10012
Los Osos,10013
Templeton,10014
Grover Beach,10015
Cambria,10016
Solvang,10017
Bradley,10018
Avila Beach,10019
Santa Ynez,10020
King City,10021
Creston,10022
Lompoc,10023
Coalinga,10024
Buellton,10025
Lockwood,10026
Greenfield,10027
Soledad,10028
Santa Margarita,10029
Bakersfield,10030
New Cuyama,10031
Lompoc,10032
Nipomo,10033
Arroyo Grande,10034
San Simeon,10035
Morro Bay,10036
Pismo Beach,10037
Cambria,10038
Paso Robles,10039
Out Of Area,10040
Los Osos,10041
Santa Maria-Orcutt,10042
Grover Beach,10043
Templeton,10044
Atascadero,10045
Oceano,10046
Cayucos,10047
Creston,10048
Out Of Area,10049
San Luis Obispo,10050
Solvang,10051
Bradley,10052
San Miguel,10053
